K03006	0.31890109	0.31667918	0.75886609
K03008	0.28001482	0.31683777	0.74736017
K03011	0.29914262	0.3063001	0.73898025
K03013	0.33768329	0.35405768	0.83548015
K02999	0.33107458	0.32120873	0.79376753
K03020	0.29914262	0.3063001	0.73898025
K03015	0.31890109	0.31667918	0.75886609
K03010	0.30177614	0.30717289	0.79142254
K03040	0.33768329	0.35405768	0.83548015
K03043	0.30571564	0.34240829	0.77949612
K03046	0.29724508	0.31872994	0.76536038
K03048	0.32167762	0.3284639	0.76900011
K03060	0.31890109	0.31667918	0.75886609
K03017	0.28001482	0.31683777	0.74736017
K03007	0.30571564	0.34240829	0.77949612
K03027	0.30208638	0.29909988	0.72359267
K03023	0.32688552	0.32972708	0.78108109
K03026	0.28001482	0.31683777	0.74736017
K14721	0.32167762	0.3284639	0.76900011
K03019	0.29724508	0.31872994	0.76536038
K03022	0.33768329	0.35405768	0.83548015
K03024	0.31890109	0.31667918	0.75886609
K03000	0.29413956	0.31416027	0.79186642
K03005	0.32688552	0.32972708	0.78108109
K03004	0.33768329	0.35405768	0.83548015
K02202	0.30542092	0.26638552	0.78415514
K03136	0.28847539	0.26483012	0.77233536
K03134	0.2717115	0.26580432	0.75396422
K03130	0.32842853	0.29717652	0.84284092
K03139	0.29245259	0.24711667	0.77647045
K03124	0.29691483	0.28831719	0.78649585
K03121	0.32842853	0.29717652	0.84284092
K03120	0.30542092	0.26638552	0.78415514
K03122	0.31791993	0.27462318	0.78821188
K03129	0.31302689	0.27529522	0.77588048
K03128	0.32013388	0.29691012	0.8148316
K03142	0.29691483	0.28831719	0.78649585
K06634	0.28441772	0.26851898	0.76872681
K10842	0.31302689	0.27529522	0.77588048
K10843	0.29245259	0.24711667	0.77647045
K03131	0.31791993	0.27462318	0.78821188
K03138	0.31302689	0.27529522	0.77588048
K09578	0.32201985	0.26555692	0.80096922
K03123	0.31020876	0.26325481	0.76577954
K14649	0.27837848	0.26222374	0.7714441
K14650	0.29245259	0.24711667	0.77647045
K03126	0.29378912	0.24810365	0.7301919
K03133	0.29691483	0.28831719	0.78649585
K14651	0.28294402	0.26119737	0.79354197
K03137	0.32013388	0.29691012	0.8148316
K03141	0.31020876	0.26325481	0.76577954
K03143	0.2717115	0.26580432	0.75396422
K03144	0.29378912	0.24810365	0.7301919
K10845	0.31849161	0.28658838	0.79446381
K11430	0.286952	0.31326592	0.7766434
K11644	0.26978894	0.29585237	0.78705725
K09033	0.28988144	0.32506699	0.78669235
K09036	0.29444301	0.33830225	0.80569756
K09052	0.26978894	0.29585237	0.78705725
K09058	0.2875935	0.31159643	0.83479563
K14431	0.26501166	0.31528631	0.7832959
