K01369	LgmN
G5E9R0	G5E9R0
K01365	CtsL1
K01367	CapN1
K01366	CtsH
K01363	CtsB
K09170	NfiC
K09173	Rfx1 Rfx2 Rfx3
K09175	-
K08568	CtsZ
K05841	-
K08564	-
K05845	-
K00500	Pah
K00501	Th
K00507	Scd Scd5
K00504	Pam
K09282	HmgA1
K09283	HmgA2
YKL096W-A	-
K09286	-
K09287	-
K09284	-
K09285	-
K01101	-
K04460	Ppp5c
K01103	-
K01102	Pdp1 Pdp2
K04464	MapK7
K01107	InpP1
K01106	InpP5a InpP5j InpP5k InpPl1
K05592	-
K05590	-
K05596	-
K14549	UTP15
K14548	CIRH1A
K14543	-
K14547	-
K14546	WDR43
K14545	RRP7A
K14544	NOL6
YKL052C	-
K01403	Mmp9
K02105	CtnNb1
K05332	Slc6a17
K08139	-
K02108	-
K02109	-
K03850	Alg10 Alg10b
K03853	CapN2
K03854	-
K03857	PigA
YLR300W	-
K08130	TskU
K04883	KcnAb2
K04884	KcnAb3
K13196	Dpf2
YHR126C	-
K13273	PmvK
K13279	PrdX1
Q562L5	Q562L5
Q562L6	Q562L6
Q562L2	Q562L2
Q562L3	Q562L3
Q562L9	Q562L9
K03274	-
K03277	-
K03271	-
K03270	-
K03272	-
YOR382W	-
K12275	Sec62
K12274	-
K12273	-
K12272	SrpRb
K12271	-
K04469	NfkB2
YDR077W	-
K16190	-
K06737	EpcAm
K06736	Cdh2
K06734	Cd320
K06730	IgsF8
K06229	SufU
K06228	Stk36
K01100	-
K06221	-
K09903	-
K06222	-
K09905	B4gAlt5
K09288	CcdC6
K11500	CenPh
K16221	-
K16222	-
K16223	-
K11504	CenPl
K11505	CenPm
K11506	CenPn
K11507	CenPo
K11508	CenPp
K11509	CenPq
K01104	PtpRu Ptp4a3 PtpRg PtpN3 PtpRe Ptp4a1 PtpRa Ptp4a2 PtpRo PtpN2 PtpN4 PtpN18 PtpN12 PtpDc1 PtpN14 TptE PtpRh MtmR3 Mtm1 PtpN22 PtpN23 PtpN21 PtpN9 Eya1 Eya3 Eya2
K00770	-
K00773	QtrTd1 QtrT1
K00772	MtaP
K04467	ChuK
K00777	-
K03140	-
K07173	-
K07178	RioK1
K07179	RioK2
K10108	-
B2RDG9	B2RDG9
K10106	GgcX
K10103	FbxO44
K10101	FbxO17
K04679	ZfyVe9 ZfyVe16
K04674	TgfBr1
K04675	AcvR1
K04676	SmaD5 SmaD1 SmaD9
K01825	-
K04670	AcvR2a
K01823	Idi1 Idi2
K01821	-
K15086	-
K00999	CdiPt
K00998	-
K00995	Pgs1
K00994	ChpT1
K00991	-
K00990	-
K00993	Ept1
K00992	OasL
K15889	-
YOR010C	-
K13484	-
